ORA-00000    성공적인 정상 종료입니다.
ORA-06036 NETDNT: 연결 실패, 개체로부터의 응답이 없습니다.
ORA-06037 NETDNT: 연결 실패, 노드에 도달할 수 없습니다.
ORA-06038 NETDNT: 연결 실패, 네트워크 드라이버가 로드되지 않았습니다.
ORA-06039 NETDNT: 연결 실패
ORA-06040 NETDNT: 부적절한 로그인 스트링입니다.
ORA-06041 NETDNT: 분리 실패
ORA-06042 NETDNT: 메시지 수신 실패
ORA-06043 NETDNT: 메시지 송신 실패
ORA-06044 NETDNT: 연결 실패, 바이트 갯수 할당량을 초과했습니다.
ORA-06102 NETTCP: 문맥 영역을 할당할 수 없습니다.
ORA-06105 NETTCP: 원격 호스트가 불명입니다.
ORA-06106 NETTCP: 소켓 생성 실패
ORA-06107 NETTCP: ORACLE 네트워크 서버가 없습니다.
ORA-06108 NETTCP: 호스트에 연결 실패
ORA-06109 NETTCP: 메시지 수신 실패
ORA-06110 NETTCP: 메시지 송신 실패
ORA-06111 NETTCP: 분리하는것이 실패
ORA-06112 NETTCP: 부적절한 버퍼크기입니다.
ORA-06113 NETTCP: 연결이 너무 많습니다.
ORA-06114 NETTCP: SID 찾기 실패
ORA-06115 NETTCP: 논리적인 ORACLE을 생성할 수 없습니다.
ORA-06116 NETTCP: ORASRV 프로세스를 생성할 수 없습니다.
ORA-06117 NETTCP: ORASRV를 생성할 수 없음: 할당량을 초과했습니다.
ORA-06118 NETTCP: ORASRV와의 교신을 끝낼 수 없습니다.
ORA-06119 NETTCP: 가짜 클라이언트의 요구
ORA-06120 NETTCP: 네트워크 드라이버가 로드되지 않았습니다.
ORA-06121 NETTCP: 액세스 실패
ORA-06122 NETTCP: 셋업 실패
ORA-06123 NETTCP: KEEPALIVE를 지정할 수 없습니다.
ORA-06124 NETTCP: ORASRV 대기시 시간경과
ORA-06125 NETTCP: ORASRV가 예기치않게 종료했습니다.
ORA-06126 NETTCP: ORASRV가 네트워크 연결을 열 수 없습니다.
ORA-06127 NETTCP: 사용자명을 변경할 수 없습니다.
ORA-06128 NETTCP: 우편함을 생성할 수 없습니다.
ORA-06129 NETTCP: 소켓의 소유권을 ORASRV로 옮길 수 없습니다.
ORA-06130 NETTCP: 호스트의 액세스가 거부되었습니다.
ORA-06131 NETTCP: 사용자의 액세스가 거부되었습니다.
ORA-06132 NETTCP: 비밀번호가 틀림, 액세스가 거부되었습니다.
ORA-06133 NETTCP: 화일이 없습니다.
ORA-06134 NETTCP: 화일 액세스 권한이 위반되었습니다.
ORA-06135 NETTCP: 연결이 거절됨; 서버가 중지되고 있습니다.
ORA-06136 NETTCP: 연결교신중 오류 발생
ORA-06137 NETTCP: 연결교신중 오류 발생
ORA-06138 NETTCP: 연결교신중 오류 발생
ORA-06140 NETTCP: 그런 사용자가 없습니다.
ORA-06141 NETTCP: 사용자에 대한 권한이 없습니다.
ORA-06142 NETTCP: 사용자 정보의 획득시 오류
ORA-06143 NETTCP: 최대 연결수를 초과했습니다.
ORA-06144 NETTCP: SID (데이타베이스)는 사용할 수 없습니다.
ORA-06145 NETTCP: ORASRV를 수행시킬 수 없음: 이미지가 설치되지 않았습니다.
ORA-06200 TWOTASK: 연결 실패, 우편함을 생성할 수 없습니다.
ORA-06201 TWOTASK: 연결 실패, 우편함에 연결할 수 없습니다.
ORA-06202 TWOTASK: 연결 실패, 서버 태스크를 만들 수 없습니다.
ORA-06203 TWOTASK: 연결 실패, 교신 실패
ORA-06204 TWOTASK: 연결 실패, ORASRV2.COM를 액세스할 수 없습니다.
ORA-06205 TWOTASK: 연결 실패, 논리명을 생성할 수 없습니다.
ORA-06206 TWOTASK: 메시지 수신 실패
ORA-06207 TWOTASK: 메시지 송신 실패
ORA-06208 TWOTASK: 부적당한 로그인(연결) 스트링
ORA-06209 TWOTASK: 연결 실패, 우편함이 이미 존재하고 있습니다.
ORA-06210 TWOTASK: 연결 실패, ORASRV가 예기치 않게 종료되었습니다.
ORA-06211 TWOTASK: 연결 실패, ORASRV를 기다리다가 시간 초과 되었습니다.
ORA-06212 TWOTASK: 연결 실패, 논리 이름 테이블이 꽉 차있습니다.
ORA-06213 TWOTASK: 연결 실패
ORA-06214 TWOTASK: 연결 실패, ORASRV를 생성하기 위해 충분치 않은 할당량 입니다.
ORA-06215 TWOTASK:  연결 실패, ORASRV 이미지가 설치가 않되게 보호된 것입니다.
ORA-06216 TWOTASK: 연결 실패, ORASRV 이미지 화일을 발견할 수 없습니다.
ORA-06250 NETNTT: 송수신 버퍼를 할당할 수 없습니다.
ORA-06251 NETNTT: 주소 화일명을 해석할 수 없습니다.
ORA-06252 NETNTT: 주소 화일을 열 수 없습니다.
ORA-06253 NETNTT: 주소화일에서 인수를 READ 할 수 없습니다.
ORA-06254 NETNTT: 큐브로의 연결을 공유할 수 없습니다.
ORA-06255 NETNTT: 원격 프로세스의 pid를 READ 할수없습니다.
ORA-06256 NETNTT: 원격 FORK 실패
ORA-06257 NETNTT: 섀도(SHADOW) 프로세스에 명령을 송신할 수 없습니다.
ORA-06258 NETNTT: 문맥 영역을 할당할 수 없습니다.
ORA-06259 NETNTT: 원격 프로세스에서 READ 할수 없습니다.
ORA-06260  NETNTT: 원격 프로세스로 WRITE 할수 없습니다.
ORA-06261 NETNTT: nrange() 실패
ORA-06262 NETNTT: nfconn() 실패
ORA-06263 NETNTT: pi_connect에 메모리 부족
ORA-06264 NETNTT: 데이타 프로토콜 오류
ORA-06265 NETNTT: break 프로토콜 오류
ORA-06266 NETNTT: 잘못된 쓰기 길이
ORA-06267 NETNTT: 오류 상태
ORA-06268 NETNTT: /etc/oratab을 READ 불가
ORA-06300 IPA: 접속분리 실패
ORA-06301 IPA: Driver context 를 할당할 수 없습니다.
ORA-06302 IPA: 원격 호스트에 연결 불가
ORA-06303 IPA: 메세지 전송 오류
ORA-06304 IPA: 메세지 수신 오류
ORA-06305 IPA: 부적절한 메시지 유형
ORA-06306 IPA: 메세지 WRITE 길이 오류
ORA-06307 IPA: 연결 재설정 실패
ORA-06308 IPA: 더 이상 연결 불가
ORA-06309 IPA: 이용 가능한 메세지 큐가 없음
ORA-06310 IPA: 환경 변수가 지정되지 않았습니다.
ORA-06311 IPA: 최대 서버수에 도달 했습니다.
ORA-06312 IPA: 지정된 서비스명이 부정확합니다.
ORA-06313 IPA: 공유 메모리 초기화 실패
ORA-06314 IPA: Event 설정 실패
ORA-06315 IPA: 콘넥트 스트링 오류
ORA-06316 IPA: 데이타베이스 SID 오류
ORA-06317 IPA: 로컬 최대 사용자수 초과
ORA-06318 IPA: 로컬 최대 콘넥션수 초과
ORA-06319 IPA: 원격 최대 사용자수 초과
ORA-06320 IPA: 원격 최대 연결 수 초과
ORA-06321 IPA: 원격편에 도달할 수 없습니다.
ORA-06322 IPA: 심각한 공유 메모리 오류
ORA-06323 IPA: 이벤트 오류 발생
ORA-06400 NETCMN: 지정된 기본 호스트 뮨자열이 없습니다.
ORA-06401 NETCMN: 부적절한 드라이버 지정자
ORA-06402 NETCMN: 브레이크 메시지 수신시 오류
ORA-06403 NETCMN: 문맥 영역을 할당할 수 없습니다.
ORA-06404 NETCMN: 부당한 로그인 (연결) 스트링
ORA-06405 NETCMN: 프로토콜 재설정 오류
ORA-06406 NETCMN: 브레이크 메시지 송신시 오류
ORA-06407 NETCMN: 브레이크 처리환경을 구축할 수 없습니다.
ORA-06408 NETCMN: 부정확한 메시지 유형
ORA-06413 연결이 개방되지 않았습니다.
ORA-06416 NETCMN: 테스트시 오류
ORA-06419 NETCMN: 서버가 오라클을 기동시킬 수 없습니다.
ORA-06420 NETCMN: SID의 찾기 실패
ORA-06421 NETCMN: 읽혀질 데이타에 오류가 발견되었습니다.
ORA-06422 NETCMN: 송신 데이타에 오류가 발견되었습니다.
ORA-06423 NETCMN: 수신 데이타에 오류가 발견되었습니다.
ORA-06430 ssaio: 함수가 잘못된 인수로 요구되었습니다.
ORA-06431 ssaio: 부적절한 블록번호
ORA-06432 ssaio: 버퍼가 정열되지 않습니다.
ORA-06433 ssaio: lseek 오류, 요구된 블록을 찾을 수 없습니다.
ORA-06434 ssaio: 읽기 오류, 데이타베이스 화일로 읽을 수 없습니다.
ORA-06435 ssaio: 쓰기 오류, 데이타베이스 화일에 기록할 수 없습니다.
ORA-06436 ssaio: 비동기 I/O가 틀린 파라미터로 인하여 실패했습니다.
ORA-06437 ssaio: 비동기 쓰기는 데이타베이스 화일에 기록할 수 없습니다.
ORA-06438 ssaio: 비동기 읽기는 데이타베이스 화일로 부터 읽을 수 없습니다.
ORA-06439 ssaio: 비동기 쓰기가 틀린 바이트 수를 리턴했습니다.
ORA-06440 ssaio: 비동기 읽기가 틀린 바이트 수를 리턴했습니다.
ORA-06441 ssvwatev: 함수 호출에 잘못된 파라미터가 넘겨졌습니다.
ORA-06442 ssvwatev: 예기치 않은 오류로 실패했습니다.
ORA-06443 ssvpstev: 함수 호출에 잘못된 파라미터가 넘겨졌습니다.
ORA-06444 ssvpstev: 예기치 않은 오류로 실패했습니다.
ORA-06445 ssvpstevrg: 함수 호출에 잘못된 파라미터가 넘겨졌습니다.
ORA-06446 ssvpstevrg: 예기치 않은 오류로 실패했습니다.
ORA-06447 ssvpstp: 함수 호출에 잘못된 파라미터가 넘겨졌습니다.
ORA-06448 ssvpstp: 예기치 않은 오류로 실패했습니다.
ORA-06449 리스트 IO 혹은 sysvendor가 설치되지 않았습니다.
ORA-06500 PL/SQL: 기억 영역 오류입니다.
ORA-06501 PL/SQL 프로그램 오류
ORA-06502 PL/SQL: 값(수치) 오류입니다.
ORA-06503 PL/SQL: 함수가 값을 리턴하지 못했습니다.
ORA-06504 PL/SQL: Result Set 변수 또는 질의의 리턴 유형이 일치하지 않습니다.
ORA-06508 PL/SQL: 호출되는 lib 단위를 발견할 수 없습니다.
ORA-06509 PL/SQL: 이 패키지(package)에 대한 ICD 벡터가 누락됐습니다.
ORA-06510 PL/SQL: 처리되지 않은 user-defined 예외 상황
ORA-06511 PL/SQL: 커서가 이미 열려있습니다.
ORA-06512 %s줄 %s에서
ORA-06513 PL/SQL: PL/SQL 테이블의 색인이 호스트 언어 배열의 범위를 벗어남
ORA-06514 PL/SQL: 원격 호출은 서버에 의해서 처리되지 않습니다.
ORA-06540 PL/SQL: 컴파일 오류
ORA-06541 PL/SQL: 컴파일 오류 - 컴파일 중지
ORA-06542 PL/SQL: 실행 오류
ORA-06543 PL/SQL: 실행 오류 - 실행 중지
ORA-06544 PL/SQL: 내부 오류, 인수: [%s], [%s], [%s], [%s], [%s], [%s], [%s], [%s]
ORA-06550 줄 %s, 열%s:%s
ORA-06551 PL/SQL: 처리되지 않은 예외상황
ORA-06552 PL/SQL: %s
ORA-06553 PLS-%s: %s
ORA-06554 패키지 DBMS_STANDARD는 PL/SQL을 사용하기 전에 생성되야만 합니다.
ORA-06555 이 이름은 현재 사용자 SYS에 의해 사용되기 위해 예약되어 있습니다.
ORA-06556 파이프가 비어 있어 unpack_message 요구를 이행할 수 없습니다.
ORA-06557 icd 파이프에 대한 파라미터로 NULL 값은 허용되지 않습니다.
ORA-06558 dbms_pipe 패키지에 있는 버퍼가 꽉 찼음. 더 이상의 항목이 사용될 수 없습니다.
ORA-06559 %s로 잘못된 데이타유형이 요구되었습니다, 실제 데이타유형은 %s 입니다.
ORA-06560 위치, %s 가 버퍼 크기 %s 보다 크거나 음수 입니다.
ORA-06561 명령문이 DBMS_SQL 패키지에 의해 지원되지 않습니다.
ORA-06562 Out 인수의 형이 열의 형과 일치되거나 변수와 바인드되어야 합니다.
ORA-06563 기술된 최상위 레벨의 프로시저/펑션이 하위레벨을 포함할 수 없습니다.
ORA-06564 개체 %s가 존재하지 않습니다.
ORA-06565 저장된 프로시저에서 %s를 실행할 수 없습니다.
ORA-06566 행의 수 지정이 부적합합니다.
ORA-06567 값의 수 지정이 부적합합니다.
ORA-06568 폐기된 ICD 프로시저가 호출되었습니다.
ORA-06570 풀 개체 공유가 존재하지 않습니다.
ORA-06571 %s 함수는 데이타베이스에 갱신하는것을 보증할 수 없습니다.
ORA-06572 %s 함수는 out 인수를 가지고 있습니다.
ORA-06573 %s 함수가 패키지 상태를 변경하는데, 여기서는 사용할 수 없습니다.
ORA-06574 %s 함수는 패키지 상태를 참조하는데, 원격적으로 실행할 수 없습니다.
ORA-06575 패키지 또는 함수 %s 은 부적당한 상태입니다.
ORA-06580 해쉬 결합이 큰 행을 메모리에 보관하는 중에 메모리 부족이 일어났습니다.
ORA-06600 LU6.2 Driver: SNA 소프트웨어가 로드되지 않음
ORA-06601 LU6.2 Driver: 부적절한 데이타베이스 id 스트링임
ORA-06602 LU6.2 Driver: 문맥 영역 할당시 오류
ORA-06603 LU6.2 Driver: 메모리 할당시 오류
ORA-06604 LU6.2 Driver: 원격 LU와 함께 세션을 할당할 수 없음
ORA-06605 LU6.2 Driver: 예기치 않은 줄 턴어라운드
ORA-06606 LU6.2 Driver: SNA로 부터의 예기치 않은 응답
ORA-06607 LU6.2 Driver: 송신상태에서 재설정됨
ORA-06608 LU6.2 Driver: 수신상태에서 재설정됨
ORA-06610 LU6.2 Driver: 해제시 실패
ORA-06611 LU6.2 Driver: 송신 요구오류
ORA-06612 LU6.2 Driver: 데이타 송신오류
ORA-06613 LU6.2 Driver: 수신 및 대기오류
ORA-06614 LU6.2 Driver: 즉시 수신오류
ORA-06615 LU6.2 Driver: 송신오류
ORA-06616 LU6.2 Driver: LU로의 첨부에 실패했음
ORA-06617 LU6.2 Driver: PU로의 첨부에 실패했음
ORA-06618 LU6.2 Driver: 서브네트워크의 활성화에 실패했음
ORA-06619 LU6.2 Driver: 활성적인 원격 파트너를 할 수 없습니다.
ORA-06620 LU6.2 Driver: 부적절한 원격 파트너
ORA-06621 LU6.2 Driver: 할당 오류
ORA-06622 LU6.2 Driver: SNA에 첨부할 수 없음
ORA-06700 TLI Driver: 호스트로부터의 메시지 유형이 부정확합니다.
ORA-06701 TLI Driver: 틀린 수의 바이트가 기록되었습니다.
ORA-06702 TLI Driver: 문맥 영역을 할당할 수 없습니다.
ORA-06703 TLI Driver: 브레이크 메시지의 송신 실패
ORA-06704 TLI Driver: 브레이크 메시지의 수신 실패
ORA-06705 TLI Driver: 원격 노드가 불명입니다.
ORA-06706 TLI Driver: 서비스가 발견되지 않습니다.
ORA-06707 TLI Driver: 연결실패
ORA-06708 TLI Driver: 메시지 수신실패
ORA-06709 TLI Driver: 메시지 송신실패
ORA-06710 TLI Driver: 송신 인터럽트 브레이크 메시지 실패
ORA-06711 TLI Driver: 바인드시 오류
ORA-06712 TLI Driver: 인수시 오류
ORA-06713 TLI Driver: 연결시 오류
ORA-06720 TLI Driver: SID 찾기 실패
ORA-06721 TLI Driver: 가 클라이언트 요구
ORA-06722 TLI Driver: 연결설정 실패
ORA-06730 TLI Driver: 크론(clone) 디바이스의 열기 실패
ORA-06731 TLI Driver: t_call을 할당할 수 없습니다.
ORA-06732 TLI Driver: t_discon을 할당할 수 없습니다.
ORA-06733 TLI Driver: 분리 수신에 실패했습니다.
ORA-06734 TLI Driver: 연결할 수 없습니다.
ORA-06735 TLI Driver: 잘못된 연결을 닫는데 실패했습니다.
ORA-06736 TLI Driver: 서버가 가동중이 아닙니다.
ORA-06737 TLI Driver: 연결실패
ORA-06741 TLI Driver: 프로토콜 디바이스를 열 수 없습니다.
ORA-06742 TLI Driver: t_bind를 할당할 수 없습니다.
ORA-06743 TLI Driver: t_bind를 할당할 수 없습니다.
ORA-06744 TLI Driver: 리스너(listener)를 바인드할 수 없습니다.
ORA-06745 TLI Driver: 리스너(listener)가 이미 가동중입니다.
ORA-06746 TLI Driver: t_call을 할당할 수 없습니다.
ORA-06747 TLI Driver: 청취(listen) 오류
ORA-06748 TLI Driver: t_discon을 할당할 수 없습니다.
ORA-06749 TLI Driver: 네트워크상에서 옵션이 허용되지 않습니다.
ORA-06750 TLI Driver: sync 실패
ORA-06751 TLI Driver: 번지 범위가 다릅니다.
ORA-06752 TLI: 시그널 설정시 오류
ORA-06753 TLI Driver: name-to-address를 맹핑하는데 실패했습니다.
ORA-06754 TLI Driver: 지역 호스트 번지를 얻을 수 없습니다.
ORA-06755 TLI Driver: 이동 마감점을 닫을 수 없습니다.
ORA-06756 TLI Driver: oratab을 열 수 없습니다.
ORA-06757 TLI Driver: 서버가 틀린 명령을 취했습니다.
ORA-06760 TLI Driver: 순차릴리스를 읽는 동안 타임아웃됐습니다.
ORA-06761 TLI Driver: 순차릴리스의 송신오류
ORA-06762 TLI Driver: 순차릴리스의 읽기오류
ORA-06763 TLI Driver: 분리 송신오류
ORA-06764 TLI Driver: 분리 읽기오류
ORA-06765 TLI Driver: 순차 릴리즈의 대기오류
ORA-06766 TLI Driver: 릴리스시 닫기실패
ORA-06767 TLI Driver: 릴리즈시 할당실패
ORA-06770 TLI Driver: 버전 송신오류
ORA-06771 TLI Driver: 버전 읽기오류
ORA-06772 TLI Driver: 명령 송신오류
ORA-06773 TLI Driver: 명령 읽기오류
ORA-06774 TLI Driver: 브레이크 모드 송신오류
ORA-06775 TLI Driver: 브레이크 모드 읽기오류
ORA-06776 TLI Driver: 파라미터 송신오류
ORA-06777 TLI Driver: 파라미터 읽기오류
ORA-06778 TLI Driver: ccode 송신오류
ORA-06779 TLI Driver: ccode 읽기오류
ORA-06780 TLI Driver: recv 오류코드 실패
ORA-06781 TLI Driver: 교섭 스트링 읽기오류
ORA-06790 TLI Driver: 폴 실패
ORA-06791 TLI Driver: 폴이 오류 상황을 리턴했습니다.
ORA-06792 TLI Driver: 서버가 오라클을 수행할 수 없습니다.
ORA-06793 TLI Driver: 서버가 새로운 프로세스를 생성할 수 없습니다.
ORA-06794 TLI Driver: 섀도우 프로세스가 프로토콜 정보를 추출할 수 없습니다.
ORA-06800 TLI Driver: SQL*Net SPX 클라이언트가 재연결하는 동안 사라졌습니다.
ORA-06801 TLI Driver: SPX 서버의 재연결을 위한 리슨이 실패했습니다.
ORA-06802 TLI Driver: /etc/netware/yellowpages 화일을 열 수 없습니다.
ORA-06803 TLI Driver: IPX 디바이스 화일을 열 수 없습니다.
ORA-06804 TLI Driver: 초기화시 IPX 번지를 바인드할 수 없습니다.
ORA-06805 TLI Driver: SPX를 위한 데이타그램 SAP 패킷을 송신할 수 없습니다.
ORA-06806 TLI Driver: SPX를 위한 프로토콜 초기화를 마감할 수 없습니다.
ORA-06807 TLI Driver: 이더네트 디바이스 드라이버 화일을 열 수 없습니다.
ORA-06808 TLI Driver: IPX와 이더네트 스트림을 연결할 수 없습니다.
ORA-06809 TLI Driver: 초기화시에 IPX 이더네트 SAP를 클리어할 수 없습니다.
ORA-06810 TLI Driver: 초기화시에 IPX 이더네트 SAP를 설정할 수 없습니다.
ORA-06811 TLI Driver: 초기화시에 IPX 네트워크 번호를 설정할 수 없습니다.
ORA-06812 TLI Driver: 이더네트 드라이버의 노드번지를 읽을 수 없습니다.
ORA-06813 TLI Driver: 설정된 이더네트 번지가 틀립니다.
ORA-06814 TLI Driver: SPX 디바이스 화일을 열 수 없습니다.
ORA-06815 TLI Driver: SPX 와 IPX 스트림을 연결할 수 없습니다.
ORA-06816 TLI Driver: SPX SAP 번지를 설정할 수 없습니다.
ORA-06817 TLI Driver: 노벨 네트워크 번지를 읽을 수 없습니다.
ORA-06900 CMX: tns 디렉토리를 읽을 수 없습니다.
ORA-06901 CMX: 로컬 어플리케션에 로컬명이 할당되지 않았습니다.
ORA-06902 CMX: cmx 서브시스템을 첨부 할 수 없습니다.
ORA-06903 CMX: 원격 어플리케션의 트랜스포트 번지를 읽을 수 없습니다.
ORA-06904 CMX: 원격 어플리케션이 이용할 수 있는 트랜스포트 번지가 없습니다.
ORA-06905 CMX: 연결 오류
ORA-06906 CMX: CMX로 부터 최대 패킷 크기를 결정할 수 없습니다.
ORA-06907 CMX: 연결 확인중 오류
ORA-06908 CMX: ORACLE_SID 전송중 오류
ORA-06909 CMX: ORACLE_SID의 인식중 오류
ORA-06910 CMX: 원격 기계에서 오라클 프로세스를 기동시킬수 없습니다.
ORA-06911 CMX: t_event가 오류를 리턴
ORA-06912 CMX: datarq에서 쓰기 오류
ORA-06913 CMX: 연결의 재방향 설정중 오류
ORA-06914 CMX: 오라클 기동중 비정상 이벤트 발생
ORA-06915 CMX: datarq에서 미확인 t_event 발생
ORA-06916 CMX: 데이타 읽기(t_datain)에서 오류
ORA-06917 CMX: 데이타 읽기(읽을 문자수 초과)에서 오류
ORA-06918 CMX: 읽기 이벤트 대기중 T_NOEVENT 발생
ORA-06919 CMX: 쓰기 요구(미확인 이벤트)중 오류
ORA-06920 CMX: getbrkmsg의 부적합한 데이타형
ORA-06921 CMX: getdatmsg의 부적합한 데이타형
ORA-06922 CMX: 쓰기 길이 오류
ORA-06923 CMX: 부적합한 브레이크 상태
ORA-06924 CMX: 브레이크 메세지 길이 오류
ORA-06925 CMX: 연결 요구중 단락
ORA-06926 CMX: 데이타 읽기중 T_ERROR 발생
ORA-06927 CMX: 데이타를 모두 쓰기전에 T_DATAIN을 수신
ORA-06928 CMX: ORACLE_SID 오류
ORA-06929 CMX: ORACLE_SID 송신시 오류
ORA-06930 CMX: ORACLE_SID 확인시 오류
ORA-06931 CMX: 서버를 위한 읽기-특성 지정시 오류
ORA-06932 CMX: 로컬 이름에서 오류
ORA-06933 CMX: 첨부중 오류
ORA-06950 오류없음
ORA-06951 운영 시스템 호출 오류
ORA-06952 통신의 상대편에서 forward-reset 패킷을 발생시켰습니다 
ORA-06953 가상 메모리 부족
ORA-06954 부적합한 화일명
ORA-06955 데이타베이스 서버의 수가 제한치를 초과 했습니다.
ORA-06956 로컬 호스트 이름을 얻는데 실패 했습니다.
ORA-06957 현재 이용 가능한 SID가 없습니다.
ORA-06958 구성 화일을 액세스 하는데 실패 했습니다.
ORA-06959 버퍼 입출력 쿼터가 너무 적습니다.
ORA-06960 로그 화일을 엑세스 하는데 실패 했습니다.
ORA-06961 이 작업에 대한 권한이 없습니다.
ORA-06970 X.25 Driver: 원격 호스트명을 인지할 수 없습니다.
ORA-06971 X.25 Driver: 데이타 수신시 오류
ORA-06972 X.25 Driver: 데이타 송신시 오류
ORA-06973 X.25 Driver: 부적절한 버퍼 크기입니다.
ORA-06974 X.25 Driver: SID 찾기 실패
ORA-06975 X.25 Driver: 호스트로의 연결에 실패했습니다.
ORA-06976 X.25 Driver: 마감점 생성에 실패했습니다.
ORA-06977 X.25 Driver: X.25 레벨 2 실패
ORA-06978 X.25 Driver: 콜백 시도가 너무 많습니다.
ORA-06979 X.25 Driver: 서버가 오라클을 기동시킬 수 없습니다.
ORA-07200 slsid: oracle_sid가 설정되지 않았습니다.
ORA-07201 slhom: oracle_home이 환경에 설정되어있지 않습니다.
ORA-07202 sltln: sltln에 부적절한 파라미터입니다.
ORA-07203 sltln: 긴 환경변수를 변환하려 했습니다.
ORA-07204 sltln: 출력 버퍼영역의 부족으로 이름의 변환에 실패했습니다.
ORA-07205 slgtd: 시간오류 , 시간을 획득할 수 없습니다.
ORA-07206 slgtd: gettimeofday 오류, 시간을 획득할 수 없습니다.
ORA-07207 sigpidu: 프로세스 ID 스트링이 내부버퍼를 초과할 수 없습니다.
ORA-07208 sfwfb: 더티 버퍼를 디스크에 반영하는데 실패했습니다.
ORA-07209 sfofi: 화일 크기제한을 초과했습니다.
ORA-07210 slcpu: getrusage 오류, cpu 시간을 얻을 수 없습니다.
ORA-07211 slgcs: gettimeofday 오류, 벽시계를 얻을 수 없습니다.
ORA-07212 slcpu: times 오류, cpu 시간을 얻을 수 없습니다.
ORA-07213 slgcs: times 오류, cpu 시간을 얻을 수 없습니다.
ORA-07214 slgunm: uname 오류, 시스템 정보를 얻을 수 없습니다.
ORA-07215 slsget: getrusage 오류.
ORA-07216 slghst: gethostname 오류, 현 호스트의 이름을 얻을 수 없습니다.
ORA-07217 sltln: 환경 변수의 값을 구할 수 없습니다.
ORA-07218 slkhst: 호스트의 작업을 수행할 수 없습니다.
ORA-07219 slspool: 스풀러 인수 버퍼를 할당할 수 없습니다.
ORA-07220 slspool: 대기 오류
ORA-07221 slspool: exec 오류, 스풀러 프로그램을 시작할 수 없습니다.
ORA-07222 slspool: 줄 프린터 스풀러 명령이 오류 종료했습니다.
ORA-07223 slspool: fork 오류, 스풀 프로세스를 띄울 수 없습니다.
ORA-07224 sfnfy: 화일 크기의 제한을 알 수 없음; 오류번호 = %s
ORA-07225 sldext: 변환 오류, 화일명을 확장할 수 없습니다.
ORA-07226 rtneco: 터미널 모드를 얻을 수 없습니다.
ORA-07227 rtneco: 반향금지 모드를 얻을 수 없습니다.
ORA-07228 rtecho: 터미널을 반향 모드로 복원할 수 없습니다.
ORA-07229 slcpuc: CPU 갯수를 얻는데 실패했습니다.
ORA-07230 slemcr: fopen 오류, 오류화일을 열 수 없습니다.
ORA-07231 slemcc: 부적절한 화일처리, 함수가 잘못된 인수로 요구되었습니다.
ORA-07232 slemcc: fclose 오류.
ORA-07233 slemcw: 부적절한 화일처리, 함수가 잘못된 인수로 요구되었습니다.
ORA-07234 slemcw: fseek 오류
ORA-07235 slemcw: fwrite 오류
ORA-07236 slemop: open 오류
ORA-07237 slemcl: 부적절한 화일처리, 함수가 잘못된 인수로 요구되었습니다.
ORA-07238 slemcl: close 오류
ORA-07239 slemrd: 부적절한 화일처리, 함수가 잘못된 인수로 요구되었습니다.
ORA-07240 slemrd: seek 오류
ORA-07241 slemrd: read 오류
ORA-07242 slembfn: 변환 오류, 오류 화일명을 변환할 수 없습니다.
ORA-07243 sftget: 제공된 버퍼가 전체 줄을 포함하기에 충분하지 않습니다.
ORA-07244 ssfccf: 화일 생성실패, 화일크기 제한치에 도달했습니다.
ORA-07245 sfccf: 최후 블록을 lseek 및 write할 수 없습니다.
ORA-07246 sfofi: open 오류: 데이타베이스 화일을 열 수 없습니다.
ORA-07247 sfrfb: read 오류: 데이타베이스 화일로부터 요구된 블록을 읽을 수 없습니다.
ORA-07248 sfwfb: write 오류: 데이타베이스 블록을 기록할 수 없습니다.
ORA-07250 spcre: semget오류, 최초 세마포 세트를 얻을 수 없습니다.
ORA-07251 spcre: semget오류, 어떤 세마포도 할당할 수 없습니다.
ORA-07252 spcre: semget오류, 세마포를 할당할 수 없습니다.
ORA-07253 spdes: semctl오류, 세마포를 할당할 수 없습니다.
ORA-07254 spdcr: ?/bin/oracle을 확장하는 동안 변환 오류가 발생했습니다.
ORA-07255 spini: 신호 처리기를 구축할 수 없습니다.
ORA-07256 sptrap: 예외를 감지하기 위한 신호 처리기를 구축할 수 없습니다.
ORA-07257 spdcr: 프로그램명의 확장시 변환오류
ORA-07258 spdcr: 포크 오류, 프로세스를 생성할 수 없습니다.
ORA-07259 spdcr: 수행오류, 기동시 분리된 프로세스가 실패했습니다.
ORA-07260 spdcr: 대기 오류
ORA-07261 spdde: kill 오류, 프로세스에 신호를 보낼 수 없습니다.
ORA-07262 sptpa: sptpa가 부적절한 프로세스 id에서 호출되었습니다.
ORA-07263 sptpa: kill 오류
ORA-07264 spwat: semop 오류, 세마포를 줄일 수 없습니다.
ORA-07265 sppst: semop 오류, 세마포를 늘릴 수 없습니다.
ORA-07266 sppst: 부적절한 프로세스 번호가 sppst로 넘겨졌습니다.
ORA-07267 spwat: 부적절한 프로세스 번호
ORA-07268 spgun: getpwuid 오류.
ORA-07269 spdcr: exec후 분리된 프로세스가 죽었습니다.
ORA-07270 spalck: setitimer오류, 인터벌 타이머를 설정할 수 없습니다.
ORA-07271 spwat: 오라클 프로세스 번호가 부적절합니다.
ORA-07272 spwat: 부적절한 세마포 세트 id입니다.
ORA-07273 sppst: 부적절한 세마포 id입니다.
ORA-07274 spdcr: 액세스 오류, 오라클의 액세스가 거절되었습니다.
